t,x,y,z
1.935000,-0.604736,-0.058511,0.000716
1.940000,-0.604736,-0.058511,0.000716
1.945000,-0.604736,-0.058511,0.000716
1.950000,-0.604736,-0.058511,0.000716
1.955000,-0.604736,-0.058511,0.000716
1.960000,-0.604736,-0.058511,0.000716
1.965000,-0.604736,-0.058511,0.000716
1.970000,-0.604736,-0.058511,0.000716
1.975000,-0.604736,-0.058511,0.000716
1.980000,-0.604736,-0.058511,0.000716
1.985000,-0.604736,-0.058511,0.000716
1.990000,-0.604736,-0.058511,0.000716
1.995000,-0.604736,-0.058511,0.000716
2.000000,-0.604736,-0.058511,0.000716
2.005000,-0.604736,-0.058511,0.000716
2.010000,-0.604736,-0.058511,0.000716
2.015000,-0.604736,-0.058511,0.000716
2.020000,-0.604736,-0.058511,0.000716
2.025000,-0.604736,-0.058511,0.000716
2.030000,-0.604736,-0.058511,0.000716
