t,x,y,z,s_along_slope,penetration_est
0.281000,-0.725703,0.080036,-0.000000,-0.025703,0.000036
0.282000,-0.725885,0.080036,-0.000000,-0.025885,0.000036
0.283000,-0.726067,0.080036,-0.000000,-0.026067,0.000036
0.284000,-0.726250,0.080037,-0.000000,-0.026250,0.000037
0.285000,-0.726434,0.080037,-0.000000,-0.026434,0.000037
0.286000,-0.726618,0.080037,-0.000000,-0.026618,0.000037
0.287000,-0.726802,0.080037,-0.000000,-0.026802,0.000037
0.288000,-0.726988,0.080037,-0.000000,-0.026988,0.000037
0.289000,-0.727174,0.080037,-0.000000,-0.027174,0.000037
0.290000,-0.727361,0.080037,-0.000000,-0.027361,0.000037
0.291000,-0.727548,0.080037,-0.000000,-0.027548,0.000037
0.292000,-0.727736,0.080038,-0.000000,-0.027736,0.000038
0.293000,-0.727925,0.080038,-0.000000,-0.027925,0.000038
0.294000,-0.728114,0.080038,-0.000000,-0.028114,0.000038
0.295000,-0.728304,0.080038,-0.000000,-0.028304,0.000038
0.296000,-0.728494,0.080038,-0.000000,-0.028494,0.000038
0.297000,-0.728685,0.080038,-0.000000,-0.028685,0.000038
0.298000,-0.728877,0.080038,-0.000000,-0.028877,0.000038
0.299000,-0.729070,0.080038,-0.000000,-0.029070,0.000038
0.300000,-0.729263,0.080039,-0.000000,-0.029263,0.000039
0.301000,-0.729457,0.080039,-0.000000,-0.029457,0.000039
0.302000,-0.729651,0.080039,-0.000000,-0.029651,0.000039
0.303000,-0.729846,0.080039,-0.000000,-0.029846,0.000039
0.304000,-0.730042,0.080039,-0.000000,-0.030042,0.000039
0.305000,-0.730238,0.080039,-0.000000,-0.030238,0.000039
0.306000,-0.730435,0.080039,-0.000000,-0.030435,0.000039
0.307000,-0.730633,0.080040,-0.000000,-0.030633,0.000040
0.308000,-0.730831,0.080040,-0.000000,-0.030831,0.000040
0.309000,-0.731030,0.080040,-0.000000,-0.031030,0.000040
0.310000,-0.731230,0.080040,-0.000000,-0.031230,0.000040
0.311000,-0.731430,0.080040,-0.000000,-0.031430,0.000040
0.312000,-0.731631,0.080040,-0.000000,-0.031631,0.000040
0.313000,-0.731832,0.080040,-0.000000,-0.031832,0.000040
0.314000,-0.732034,0.080040,-0.000000,-0.032034,0.000040
0.315000,-0.732237,0.080041,-0.000000,-0.032237,0.000041
0.316000,-0.732441,0.080041,-0.000000,-0.032441,0.000041
0.317000,-0.732645,0.080041,-0.000000,-0.032645,0.000041
0.318000,-0.732849,0.080041,-0.000000,-0.032849,0.000041
0.319000,-0.733055,0.080041,-0.000000,-0.033055,0.000041
0.320000,-0.733261,0.080041,-0.000000,-0.033261,0.000041
0.321000,-0.733467,0.080041,-0.000000,-0.033467,0.000041
0.322000,-0.733675,0.080041,-0.000000,-0.033675,0.000041
